title,author,description,year,url
"Wait But Why: The AI Revolution","Tim Urban","Two-part series on the future of AI",2015,https://waitbutwhy.com/2015/01/artificial-intelligence-revolution-1.html
"Paul Graham Essays","Paul Graham","Essays on startups, programming, and life",2024,http://paulgraham.com/articles.html
