title,author,description,year,url
"What I Talk About When I Talk About Running","Haruki Murakami","Memoir on running and writing",2008,
"The Bitter Lesson","Rich Sutton","On the importance of scale in AI research",2019,http://www.incompleteideas.net/IncIdeas/BitterLesson.html,
"The Bitter Lesson","Rich Sutton","On the importance of scale in AI research",2019,http://www.incompleteideas.net/IncIdeas/BitterLesson.html

