title,author,description,year,url
"Thinking, Fast and Slow","Daniel Kahneman","Exploration of the two systems that drive the way we think",2011,
"The Courage to Be Disliked","Ichiro Kishimi & Fumitake Koga","Japanese phenomenon on Adlerian psychology",2013,
"Sapiens: A Brief History of Humankind","Yuval Noah Harari","A sweeping history of our species",2014,
